epoch,loss,val_f1,val_acc
1,0.2195515228169305,0.9792538241941685,0.9883333333333333
2,0.0976518951636508,0.9866923325470612,0.993
3,0.0892032130544347,0.9929809931222323,0.9956666666666667
4,0.08742494220124152,0.9917377175613756,0.995
5,0.0876029173570468,0.9713160081849883,0.9776666666666667
6,0.09597956411596528,0.9675510044621599,0.983
7,0.09412116775835368,0.985487668590631,0.9906666666666667
8,0.0873692433973004,0.9863796369599911,0.99
9,0.08705620361225945,0.983158719147293,0.9893333333333333
10,0.08636045612786945,0.9904089936365218,0.9943333333333333
11,0.08638184080670651,0.9876736458213797,0.9923333333333333
12,0.09552320938809473,0.988742339675843,0.9883333333333333
13,0.08785209961627659,0.986093431865949,0.988
14,0.08536510606457416,0.9898836276536114,0.9946666666666667
15,0.08490313628786489,0.9931579948239254,0.9946666666666667
16,0.08517719850056153,0.9865637070948813,0.992
17,0.08959816855595525,0.9768588024731392,0.9873333333333333
18,0.08705769412051466,0.98171831753535,0.985
19,0.09108586654179078,0.9783825486447816,0.9843333333333333
20,0.0917121133297906,0.982073194860251,0.9893333333333333
